Arçelik'ten TV aldım. Her şey güzel ama kendi aparatını bedava benim aldığım aparatı para ile takabileceklerini söylediler. Çok enteresan değil mi. TV ile gelen aparat da aynı 4 vidalı aldığım aparat da 4 vidalı Arçelik sana yakışmadı.	1,0
Huawei store'den online olarak bir telefon aldım. 07.10.2020 tarihinde ürün satışında belirttikleri hediye power bank kodu hala elime ulaşmadı. 14 iş günü içinde ulaştırmaları gerekiyordu ama tek söyledikleri yoğunluk var. Sorunun çözümü nedir acaba reklamlar çok güzel ama gerçekler öyle olmuyor.	1,0
Google ile anlaşmanın bitmesiyle birlikte yeni bir uygulama indirme platformu kurdunuz çok güzel ama indirdiğim uygulamalar ile ilgili sürekli konum sorunu yaşıyorum. Kendi Store'unuzdan bile indirdiğim uygulamalar sürekli telefonunuz Play Store desteklemediği için bu işlemi gerçekleştiremiyor hatası almaktan canım sıkıldı. Appsearch programınızdan Gloria Jeans Coffee indirdim dün uygulama üzerinden 5'li kahve aldım. Tam kasada ödeme yapacağım uygulamanın ödeme bölümünde işlem gerçekleştiremiyorum sürekli Play Store desteklemiyor hatası. \n\nHastane sağlık sistemini indirdim randevu aldım hastanenin konumuna bakacağım Play Store desteklemiyor hatası. Artık canıma tak etti bin pişmanım şu telefonu aldığıma. 10 tane uygulamanın güncellenmesi gerekiyor hepsini tek tek soruyor indirmesi bitince sadece 20 dakikam yarım yamalak çalışan uygulamaları güncellemeye gidiyor. Arama yapmaktan ve mesaj atmaktan başka bir işlev göremez hale geldi telefon.	1
Aynı telefondan hem amcama hem babama aldık her şeyi güzel ama telefon interneti aşırı yavaş ne sosyal medyada ne EBA da ne de Google da doğru düzgün kullanılıyor. Huawei gibi bir markaya kesinlikle yakışmıyor. P20 Lite var bende onu kullanıyorum ama onunda ekran sol üst köşeden sararmaya başladı daha ilk yılı dolmadan.	1,0
Huawei p30 Pro kullanıcısıyım. Her şey güzel ama ayarlara girip Huawei kimliğine girip oradan cloud bölümüne girip telefonuma bul özelliği çıkmıyor. Bunu tarayıcıdan da giriyorum. Resimde paylaştım navigasyonda yerini gösteriyor ama altında etkin cihaz yoktur diye yazıyor. Normalde telefon adı çıkıp kitleme, zil çaldırma, verileri silme özelliği çıkması lazım.	1
Huawei p30 Lite telefonum ile arabamda aux kablosu ile müzik dinleyemiyorum sebebi nedir? Telefon çok güzel ama en basit şeyi yapamadım aux kablosunu yeni aldım diğer telefonlarda çalışıyor fakat benim telefonda çalışmıyor. Aux ile sorunları olduğunu bilsem bu telefonu almazdım yardımınızı bekliyorum.	1,0
Mate 10 Pro telefon kullanıyorum. Ama aylardır kameranın odaklanma sorununu bir türlü çözemedim. Telefon güzel ama kamera düzgün çalışmadığı zaman bu telefona zamanında verdiğim para direk çöpe atılıyor. Bu ürünü kamerası için almıştım ama sıkıntı geçmiyor. Bunun çözümünü istiyorum.	1
Benim Huawei P20 Lite var en son 9.1.0 güncellemesi var neden güncelleme gelmiyor yoksa değiştirmeli miyim Huawei seviyorum hem kullanışı hem de hızı bakımından çok güzel ama güncelleme yok devamlı manuel olarak kontrol ediyorum ama yine de yok en son 9.1.0 da kaldı güncelleme!	1
Yaklaşık 8 ay önce telefon aldım, aldığımdan 2 ay sonra ekran kendiliğinden basmaya başladı. Alt kısımdaki orta tuş, ekranı kapatıp açtığım zaman düzeliyor ayrıca herhangi bir oyun oynarken kendiliğinden farklı yerlere basıyor telefon güzel ama böyle yapmasa.	1
Huawei p40 Lite telefon aldım, fakat WhatsApp üzerinden gelen belgelerimin hepsi sadece tek bir belge oldu, yani hangi dekontu açarsam açayım sadece tek bir dekont ile karşılaşıyorum (PDF olarak görüntülüyorum). \n\nHiçbir dekontu görüntüleyememem işimi son derece olumsuz etkiliyor, telefon güzel ama Google bağlantısı olmaması nedeniyle, işler iyice karışıyor.	1
Apple ile kıyaslaması yapılıyor diye Huawei frebuds 3 kulaklık aldım ama pişmanım. Telefon görüşmesi yaparken sesim karşı tarafa 2 3 defa yankılanarak gidiyor kullanamıyorum.tasarımı çok güzel ama kullanamadıktan sonra bir anlamı yok.	1
Huawei mağazasında PUBG YouTube.com gibi bir çok uygulama yok PUBG internetten indirdim ve Jireskop açmayı denedim. Jireskop desteklemiyor diyor alalı 2 gün oldu ve vakit geçirdiğim oyunda bunu demesi benim için oyunu oynayamam anlamına geliyor. Telefon çok güzel işletim sistemi vb... Şeyler cidden güzel ama lütfen bu sorunu çözün yetkili arkadaşlar.	1
Huawei akıllı saat aldım her şey normal güzel ama spor yaparken nabız göstergesi duruyor :kalori hesaplamaları karışmaya başlıyor. Aldığım yere iade zamanı geçmeden götürdüm ama servise gönderip bir şey yok deyip geri verdiler ve şimdi yine aynı bir değişiklik yok.	1
Şimdi uzun laf yapmak istemiyorum. Severek kullandığım cihazlardan biri olan P Smart 2019 artık kendini benden soğuttu. Ben arada sırada oyunlar oynuyorum ve açık konuşayım oyun performansı güzel ama oyunlarda bilinen jiroskop yani sensör adı verilen ve VR de etkileyen bir şey var.\n\nJiroskop yani sensör gecikmeli çalışmakta yani tam olarak yazamam ama düşüncem telefonu sağa falan çevirdiğimizde anlık değil de 0.5 salise falan geç iletmekte ama ben bu cihazın jiroskop destekliyor diye biliyorum. İnternete girdiğimde herkes bu soruna isyan ediyor.\n\nBiz bu sorunu servise göndermeden çözebilir miyiz çözerseniz cidden sistemden memnun kalacağım.	1
6 ay önce Huawei y7 2018 aldım ve güzel bir telefondu kutulu aldım KVK kamera her şey güzel ama bir sıkıntı var 6 aydır kullanıyorum ve hala sistem güncellemesi gelmedi nedeni ise hala bilinmiyor. Daha telefona EMUI 9 gelmedi. Hala da kullanıyorum pişman olmuş gibi hissediyorum kendimi ama gelmesi diğer tüketiciler için iyi olur bende dahil.	1
Ailemizde ilk defa Huawei aldık. Görüntülü arama yapmaya çalışıyorum ama olmuyor. Samsung'dan büyük bir şirketsiniz ama Samsung'un tüm telefonlarında görüntülü konuşma özelliği var. Bizim evimizde internet yok ben her görüntülü arama yapmak istediğimde internet almak zorunda mıyım? Buna bir çözüm bulun, bir güncelleme filan getirin lütfen. Ve ayrıca biz bu telefonu alırken satıcı kişi bize hep iyi özelliklerinden bahsetti görüntülü konuşma özelliği yok demedi ve ya diyemedi telefon güzel ama bahsettiğim konunun gereğinin yapılmasını arz ederim.	1
Huawei Ekran Sarardı! \nHuawei mate10 Lite kullanıcısıyım 2 yıl oldu ekranın solunda 2 adet sağında 1 adet sararma sorunu oldu aşağı doğru gidiyor telefon çok güzel ama herkeste aynı sıkıntı yaşanıyor. Huawei bu işe el atması gerekiyor ve telefonları toplaması gerekiyor veya teknik konuda yardımcı olması gerekiyor.	1
Huawei Y7 2019 telefonuma güncelleme gelmiyor arkadaşım Huawei Y6 s aldı onda 9 EMUI var bunun bir çözüme ulaştırılmasını istiyorum .telefon çok güzel ama güncellemesi gelmiyor. O kadar para verdik ama Android düşük çok saçma. İletişime geçiyorum .sisteminiz de güncelleme bulunmamaktadır diyorlar ne zaman güncelleme gelir bilmiyoruz.	1,0
Çok severek aldığım telefon her şey güzel ama istediğim bazı programlar desteklemiyor. Telefonun kendi mağazasından indiriyorum ama Google Play desteklemiyor diyor Google Play'de indirmek istesem eski telefonun markası görünüyor ve program yüklü diyor yardımcı olun.	1
Huawei p 20 Lite telefonu sıfır aldım ilk önce karşı tarafın sesi çok güzel geliyordu. Şimdi artık o kadar kısık ki çok zor duyuyorum duymakta bayağı bir güçlük çekiyorum araştırıyorum herkes te aynı şikayet telefon güzel ama bu kulak sesine bir çözüm arıyorum lütfen yardımcı olur musunuz.	1
Telefon jiroskopu aşırı yavaş boşuna telefon aldık galiba oyun oynarken telefonu ne tarafa döndürsem çok geriden geliyor telefonun kendisi güzel ama jiroskop olmadığı için oyun oynayamıyorum çok ihtiyacım var Google Play olmaması biraz zorluyor beni ama o yandan fazla sıkıntı yok.	1
İPhone 11 telefonlara 15.4 sistem güncellemesinde maske desteği neden yok biz bu cihazları alırken güzel ama 12 üstü cihazlar için geçerli diyorsunuz neden sebep ne yazılım güncellemesi veriliyor telefon bunu destekliyor da iPhone 8 kullanmıyoruz 11 cihazı kullanıyoruz yapılan bu durum yanlış bir durumdur.	1
6 ay önce almış olduğum Apple se 2020 model telefonumun bugün itibariyle pil sağlığı %91 olmuştur. Apple müşteri hizmetlerini aradığımda ise 2 yıl içerisinde %80 altına düşerse Apple yardımcı olabilecekmiş. Uzaktan yapmış oldukları testler ile pil sorunsuzmuş. İyi güzel ama şöyle bir sorun var aktif olarak telefon kullanan insanlarız iş yerimizde veya dışarıda şarj aleti veya powerbank ile gezmek zorunda kalacaksak neden Apple cihaz alalım? \n\nNeden bu kadar para ödeyelim? Neden eski model telefonlarımızı yenisi ile değiştirelim? Zaten hali hazırda çok fazla bir ücret ödedik telefon için, Apple markasını tercih etmenin nasıl bir avantajını yaşayacağız anlamış değilim? Bu kadar para ödeyip prize bağlı yaşamayı bize reva gören Apple mağduriyetimizi nasıl giderecektir?	1
Garanti süresinde pil değişimi sağlamıyorlar ücret talep ediliyor bu durum çok üzücü satın alırken her şey güzel ama işin ince detaylarını bilgilendirmezler pil döngüsü diye bir şey varmış geçtiğiniz zaman garanti dışı oluyor müşteri memnuniyeti 0 resmen.	1
iPhone kullanırken 50 GB satın almıştım fakat iptalini bir türlü yapamıyordum. Alan iptal etme yazısına basmama rağmen bu türlü iptali olmuyor. Her ay boş yere 7 TL veriyorum. Şu an androide geçtim. iCloud hesabıma bilgisayardan giriyorum fakat oradan iptal etme seçeneği yok. Ücreti alırken gayet güzel ama iptal etmek bu kadar zor olmamalı. iPhone her alanda pişmanlık.	1
Kimlik kartımın NFC özelliğiyle okuyamıyorum. İPhone 7 ve okumuyor en yakın ATM ye gidecek durumum yok şu an ve acilen lazım olan sim kart blokemi kaldırmak istiyorum neden böyle bir şey oluyor hizmetleriniz güzel ama bazı şeyler eksik.	1
Cihazımın Apple 11 Pro max ikinci defa servise götürüyorum ilgi alaka güzel ama çözüm yok.Her defasında sistem kontörlü yapılıp bir sonuç görememeleri ve benimde hala aynı sorunu yaşamam. Bu müşteri memnuniyeti değildir ayıptır o kadar para ödüyoruz bu mu bize verilerin saygı ve hizmet Akasya Apple Zorlu Apple ikisi de bir çözüm bir sorun yok deyip geri gönderdiler sakız ile hoparlör temizleyip gönderdiniz yetkililer artık buradan duyun ve çözüm istiyorum.	1
"İ phone 7 Plus kullanmaktayım. Bir gün aniden telefonun ses sisteminde sorun çıktı. Apple destek ile görüştükten sonra Apple Store'dan randevu ayarladık. Apple Store ile görüştükten sonra;tarafımıza iletilen bu ana kart problemi ve kendilerince yapılamayacağı. Bir de üstüne dışarıda herhangi bir telefoncuya götürmemizi istediler.\n\n Telefonu satana kadar her şey çok güzel ama destek istemeye gelince verdikleri çözüme bak. Şu anda telefonla ne konuşabiliyorum ne de arama cevaplayabiliyorum. Bu mu Apple firmasının kendi malına sahip çıkması gerçekten anlayamıyorum."	1
Göndermiş olduğunuz telefon çok güzel ama telefon çok ısınıyor patlama derecesine geliyor 12 ay garantili diye aldım çözüm istiyorum gerekenin yapılmasını talep ediyorum\nbu sorunu çözeceğinizi umuyorum,telefonda sıkıntı var göndermiş olduğunuz üründe.	1
